,estado,setor,faturamento_informado,divida_total_pj,score,taxa,atraso_corrente,prazo,valor_contrato,valor_contrato_mais_juros,valor_em_aberto
1395,RS,SERVICOS DIVERSOS,30000.0,39451.0,386,4.641,0,12.6,14430.0555,17587.68,0.0
1396,SP,VAREJO,110000.0,389000.0,222,5.124,1519,12.6,11097.2505,13505.76,12380.28
1397,RN,VAREJO,220000.0,150000.0,269,5.523,0,12.6,16739.5095,20847.36,0.0
1398,MG,SERVICOS DE SAUDE,30000.0,81000.0,207,5.1135,0,12.6,5549.145,6825.36,0.0
1399,PR,ATACADO,25000.0,0.0,617,4.557,0,12.6,22198.6275,26726.64,11708.91
1400,SP,ATACADO,800000.0,513000.0,371,4.536,1476,6.3,32541.642,34695.36,34695.36
1401,RJ,QUIMICA-PETROQUIMICA,30000.0,7000.0,490,5.3235,0,12.6,5548.6725,6831.48,0.0
1402,ES,SERVICOS DE EDUCACAO,25000.0,0.0,277,5.187,1323,12.6,11097.996,13659.24,13659.24
1403,RJ,VAREJO,600000.0,682000.0,635,3.7275,0,12.6,111582.0615,124996.32,0.0
1404,SP,VAREJO,300000.0,29000.0,212,3.801,0,4.2,21444.696,21561.4,0.0
1405,MG,VAREJO,75000.0,2000.0,521,4.389,1235,12.6,16734.711,19372.2,17725.56
1406,SP,SERVICOS DE ALOJAMENTO/ALIMENTACAO,20000.0,0.0,388,5.0085,0,12.6,5951.2425,7228.92,0.0
1407,MS,SERVICOS ADMINISTRATIVOS,33000.0,5000.0,285,5.3235,0,12.6,5548.977,6879.6,0.0
1408,BA,SERVICOS ADMINISTRATIVOS,12000.0,0.0,530,4.9035,0,10.5,5501.3805,6392.4,0.0
1409,RJ,SERVICOS DE ALOJAMENTO/ALIMENTACAO,20000.0,512.0,344,6.09,1024,12.6,5548.62,7110.24,4147.64
1410,PE,VAREJO,18000.0,0.0,407,5.7855,1457,12.6,8932.896,11580.72,11580.72
1411,SP,VAREJO,20000.0,6000.0,625,4.9875,0,12.6,11097.9015,13497.84,0.0
1412,MG,PAPEL E CELULOSE,101000.0,0.0,645,3.57,1287,12.6,55817.8635,62821.8,62821.8
1413,RJ,INDUSTRIA DA CONSTRUCAO,120000.0,91000.0,502,3.969,0,6.3,37973.3655,40025.34,0.0
1414,SC,SERVICOS DE ALOJAMENTO/ALIMENTACAO,170000.0,189000.0,319,4.557,0,6.3,21706.0935,23567.52,0.0
1415,SP,VAREJO,35000.0,0.0,220,5.3865,876,12.6,5547.549,6684.0,5056.24
1416,GO,VAREJO,100000.0,17000.0,274,4.83,0,12.6,11096.778,13223.88,0.0
1417,SP,VAREJO,250000.0,6000.0,201,3.9795,0,6.3,21637.329,23248.5,0.0
1418,MG,SERVICOS PROFISSIONAIS E TECNICOS,40000.0,0.0,426,4.62,1165,12.6,11100.264,13545.12,12416.36
1419,AP,INDUSTRIA DA CONSTRUCAO,70000.0,0.0,578,4.0845,1200,6.3,23866.0065,25155.66,25155.66
1420,SP,BENS DE CONSUMO,60000.0,5000.0,438,5.124,0,12.6,9923.1825,12162.48,0.0
1421,MT,VAREJO,70000.0,0.0,439,4.9665,1151,12.6,11163.5685,13666.68,13666.68
1422,SP,VAREJO,120000.0,64000.0,179,5.061,0,6.3,16278.2235,17933.1,0.0
1423,GO,ATACADO,352000.0,100000.0,569,4.137,0,12.6,55792.38,64019.16,0.0
1424,SP,VAREJO,250000.0,62000.0,634,3.9375,0,12.6,55809.369,63923.52,0.0
1425,RJ,VAREJO,20000.0,0.0,428,4.8195,0,12.6,11097.2085,13271.52,0.0
1426,DF,SERVICOS ADMINISTRATIVOS,40000.0,3000.0,487,4.5885,0,12.6,22194.165,26174.04,0.0
1427,RJ,SERVICOS DE EDUCACAO,13000.0,230.0,447,4.746,1018,12.6,5549.271,6701.88,3837.06
